             0.00016             -1.10591              1.07526
             0.00013             -1.00853              1.03829
             0.00019             -0.91532              1.00040
             0.00019             -0.82665              0.96194
             0.00119             -0.74283              0.92340
             0.00256             -0.66410              0.88539
             0.00451             -0.59051              0.84866
             0.00591             -0.52195              0.81408
             0.00788             -0.45805              0.78258
             0.00972             -0.39816              0.75509
             0.01114             -0.34135              0.73245
             0.01331             -0.28649              0.71534
             0.01867             -0.23225              0.70417
             0.01625             -0.17728              0.69905
             0.00610             -0.12027              0.69977
            -0.00703             -0.06008              0.70585
            -0.00870              0.00417              0.71658
            -0.00663              0.07311              0.73115
             0.00866              0.14710              0.74869
             0.00329              0.22623              0.76837
             0.00360              0.31043              0.78943
            -0.00096              0.39945              0.81122
             0.00131              0.49298              0.83321
             0.00100              0.59065              0.85500
            -0.00023              0.69205              0.87626
             0.00040              0.79680              0.89678
             0.00024              0.90453              0.91641
             0.00026             -1.06887              0.97779
             0.00002             -0.97021              0.93938
             0.00067             -0.87601              0.89960
             0.00118             -0.78675              0.85877
             0.00202             -0.70291              0.81737
             0.00561             -0.62487              0.77606
             0.00809             -0.55285              0.73567
             0.01254             -0.48686              0.69723
             0.01706             -0.42659              0.66188
             0.01600             -0.37136              0.63084
             0.00616             -0.32013              0.60521
            -0.00127             -0.27149              0.58594
             0.03395             -0.22381              0.57360
             0.01806             -0.17534              0.56837
            -0.00202             -0.12442              0.57000
             0.01759             -0.06964              0.57784
             0.00083             -0.00990              0.59098
            -0.01083              0.05551              0.60833
             0.01719              0.12692              0.62880
            -0.02024              0.20437              0.65137
             0.00937              0.28764              0.67513
            -0.01051              0.37636              0.69935
            -0.00180              0.47007              0.72346
             0.00131              0.56827              0.74702
             0.00202              0.67047              0.76973
            -0.00007              0.77619              0.79139
             0.00071              0.88500              0.81190
             0.00088             -1.03071              0.88450
             0.00026             -0.93033              0.84489
             0.00148             -0.83462              0.80340
             0.00191             -0.74424              0.76027
             0.00547             -0.65982              0.71595
             0.00994             -0.58197              0.67110
             0.01738             -0.51114              0.62662
             0.02865             -0.44754              0.58370
             0.03625             -0.39099              0.54376
             0.02600             -0.34086              0.50834
            -0.02086             -0.29596              0.47896
            -0.01947             -0.25458              0.45692
             0.01527             -0.21464              0.44308
             0.02524             -0.17388              0.43772
             0.00903             -0.13013              0.44052
             0.00650             -0.08158              0.45059
            -0.00292             -0.02689              0.46671
             0.05118              0.03473              0.48745
            -0.01777              0.10357              0.51140
             0.01460              0.17950              0.53729
