    0.875877499580383301E+00    0.461124002933502197E+00    0.962850451469421387E-01    0.302238345146179199E+00    0.131352007389068604E+00    0.953965485095977783E+00    0.688723862171173096E+00    0.991885423660278320E+00    0.990214824676513672E+00    0.992726862430572510E+00    0.103123307228088379E+00   -0.275446007736520769E+05   -0.460515351937698814E+01    1
    0.113341569900512695E+00    0.949564993381500244E+00    0.448397994041442871E-01    0.428889930248260498E+00    0.289774119853973389E+00    0.852871060371398926E+00    0.589170932769775391E+00    0.428504645824432373E+00    0.718743026256561279E+00    0.983813047409057617E+00    0.657621920108795166E+00   -0.394304660661325261E+04   -0.461515351937698259E+01    1
    0.948322117328643799E+00    0.138023495674133301E+00    0.972791910171508789E+00    0.539120197296142578E+00    0.810278654098510742E-01    0.408628284931182861E+00    0.690190315246582031E+00    0.285243391990661621E+00    0.787859618663787842E+00    0.991735041141510010E+00    0.696717023849487305E+00    0.186386320382622534E+04   -0.462515351937698149E+01    1
    0.563156008720397949E-01    0.673239767551422119E+00    0.653018653392791748E+00    0.106893777847290039E-01    0.703895509243011475E+00    0.335219740867614746E+00    0.146471261978149414E+00    0.482224106788635254E+00    0.936627388000488281E-01    0.285213410854339600E+00    0.132828950881958008E-01    0.480514640303283704E+04   -0.463515351937698661E+01    1
    0.329028785228729248E+00    0.342956721782684326E+00    0.880540013313293457E-01    0.937960803508758545E+00    0.984227478504180908E+00    0.612897872924804688E+00    0.242578506469726562E+00    0.740217149257659912E+00    0.311400532722473145E+00    0.113100111484527588E+00    0.118860244750976562E+00    0.520035894737850322E+04   -0.464515351937698728E+01    1
    0.663675606250762939E+00    0.538944602012634277E-01    0.809439837932586670E+00    0.344248294830322266E+00    0.727737426757812500E+00    0.270803272724151611E+00    0.128689408302307129E-01    0.341483891010284424E+00    0.988943934440612793E+00    0.977982163429260254E+00    0.103123724460601807E+00    0.552007464336719750E+04   -0.465515351937698174E+01    1
    0.808660209178924561E+00    0.163996815681457520E-01    0.896188616752624512E+00    0.637862741947174072E+00    0.411828160285949707E-01    0.899356424808502197E+00    0.146194398403167725E+00    0.837103247642517090E+00    0.734476208686828613E+00    0.882714152336120605E+00    0.999344646930694580E+00    0.581585686237056871E+04   -0.466515351937698153E+01    1
    0.195205271244049072E+00    0.886228084564208984E-01    0.502734780311584473E-01    0.988207042217254639E+00    0.327904284000396729E+00    0.589298546314239502E+00    0.797168135643005371E+00    0.650960445404052734E+00    0.292188107967376709E+00    0.817910552024841309E+00    0.105467200279235840E+00    0.586351334343888448E+04   -0.467515351937698398E+01    1
    0.999574661254882812E+00    0.224600315093994141E+00    0.211793601512908936E+00    0.909769415855407715E+00    0.793811678886413574E-01    0.646096050739288330E+00    0.129201352596282959E+00    0.188274919986724854E+00    0.979581117630004883E+00    0.121873736381530762E+00    0.112138569355010986E+00    0.603967129984242820E+04   -0.468515351937698377E+01    1
    0.900146126747131348E+00    0.135650634765625000E-01    0.597902953624725342E+00    0.904068589210510254E+00    0.914489030838012695E+00    0.566874980926513672E+00    0.224124252796173096E+00    0.979545533657073975E+00    0.763146698474884033E+00    0.894290149211883545E+00    0.451481759548187256E+00    0.625193271222263320E+04   -0.469515351937698444E+01    1
