0-massfield-mass-0-ExternalShear-gamma_ext,0-massfield-mass-0-ExternalShear-phi_ext,1-galaxy-mass-0-PEMD-theta_E,1-galaxy-mass-0-PEMD-gamma,1-galaxy-mass-0-PEMD-q,1-galaxy-mass-0-PEMD-phi,1-galaxy-mass-0-PEMD-center_x,1-galaxy-mass-0-PEMD-center_y,2-galaxy-light-0-IrregularGrid-lambda,2-galaxy-light-0-IrregularGrid-l_corr,2-galaxy-light-0-IrregularGrid-eta,probability_weights
0.028255,18.608834,1.708548,1.942696,0.928433,48.390457,0.042556,0.047461,3.426428,0.410016,0.999881,12896.9
0.030991,40.086209,1.994166,2.153528,0.614157,26.248242,0.133714,-0.054428,101.209791,0.593938,0.448959,12897.4
0.035914,80.064191,1.800766,1.860863,0.690585,86.572829,0.178163,0.189874,1421.328161,0.634244,0.919441,12912.6
0.031907,22.280263,1.296949,2.005606,0.880953,67.355536,-0.149351,-0.128348,565.706529,0.524978,0.983184,12924.2
0.026680,30.182823,1.785242,2.109240,0.715000,37.743917,0.135720,-0.024807,267.653983,0.790357,0.589565,12934
0.031112,30.041122,1.656762,2.053331,0.871600,71.003303,-0.088863,-0.197597,4.021525,0.563674,0.678130,12954
0.017211,66.183341,1.803865,2.092015,0.648127,52.182012,-0.060573,-0.017140,1.338241,0.834422,1.751997,12955.7
0.028398,83.057386,1.927478,1.967583,0.627985,67.164418,0.090077,-0.164229,112.317084,0.119435,1.183818,12999.7
0.007164,5.935031,1.401367,2.150530,0.951216,71.014606,-0.116546,-0.070114,377.364777,0.872058,1.627099,13009.5
0.006845,35.856285,1.951875,1.856655,0.704195,83.076290,-0.155383,-0.111018,22670.414161,0.334283,1.353573,13017.1
0.033962,26.819134,1.750382,2.029188,0.880744,22.218781,-0.050782,0.045136,36047.491215,0.390467,0.469235,13020.5
0.032609,52.611675,1.989689,1.870232,0.709678,3.806376,-0.144254,-0.143750,3754.683921,0.068378,0.821110,13021.5
0.034125,66.331689,2.067660,1.896667,0.622354,35.334697,-0.032771,-0.040345,7.198655,0.736671,3.452320,13024.9
0.031343,12.943102,1.752321,1.964988,0.805267,35.741315,0.000915,0.157402,11.977269,0.568859,1.052336,13026.1
0.012651,65.712345,1.422235,1.825311,0.958038,36.997865,-0.121117,-0.193034,3.228465,0.417125,1.242352,13030.5
0.005135,5.195439,1.362804,2.195286,0.798712,52.441376,-0.029012,0.092020,6159.808419,0.499976,1.609404,13034.1
0.025386,53.963664,2.079858,2.017458,0.610359,40.801683,-0.096146,-0.149891,16.115880,0.509316,1.102593,13060.1
0.020817,69.656501,1.713747,2.119971,0.741604,29.836582,0.024955,-0.120098,197787.239184,0.715253,1.122175,13060.1
0.015342,35.728950,1.354548,1.874470,0.912568,78.280302,0.087815,0.182869,15142.014230,0.536124,0.218830,13066.8
0.027242,26.600481,1.782456,2.113300,0.645921,32.931808,-0.109718,0.032790,92.713827,0.526866,0.479463,13070.9
0.016989,21.760102,2.086679,1.828764,0.637323,83.973870,0.174875,0.135830,1502.055496,0.608036,2.387733,13079.7
0.014773,11.604813,1.415477,1.913084,0.916507,18.793482,0.009889,0.022170,195.012628,0.844181,1.113684,13084.5
0.029942,62.302061,1.372373,2.123323,0.772120,83.912179,0.150568,0.173160,83.590049,0.618790,0.575637,13095.9
0.035312,19.897099,1.408210,1.891833,0.877343,45.275339,0.142401,-0.012615,360.637460,0.074062,2.190926,13099.2
0.012297,72.121055,2.021613,1.937990,0.645160,63.690577,0.036128,-0.163353,26.118348,0.799221,1.470799,13103.9
0.027177,56.871350,1.732446,1.989400,0.937523,73.999819,0.119927,-0.044382,42202.703383,0.429290,1.184414,13105.3
0.025325,63.882950,1.405807,2.102317,0.957799,62.040406,-0.015748,0.113574,69.516802,0.514034,0.663597,13129.1
0.010154,31.811616,1.817571,1.925585,0.676287,12.911569,0.022643,0.078571,2959.815355,0.850843,0.233324,13130.5
0.032092,56.580545,1.870618,1.803110,0.617751,3.484120,-0.042034,-0.034718,784.853866,0.451057,0.156508,13134.9
0.021705,47.369195,1.562088,1.959054,0.945189,38.023537,0.140539,-0.015332,43.537416,0.055049,2.142657,13144.8
0.035008,15.918857,1.389175,2.039112,0.778984,15.676766,-0.183133,-0.017246,13.335683,0.661477,1.492318,13146.7
0.036846,38.456943,1.434532,1.987145,0.897194,89.912659,0.003009,-0.115972,15.494403,0.684795,0.760763,13160.1
0.023591,51.700668,2.062885,1.830142,0.641067,4.476832,-0.198113,0.062119,464.229131,0.646828,0.601315,13161.2
0.010803,2.967666,1.540072,2.066009,0.904004,34.702844,-0.177004,-0.000995,27.810937,0.752868,0.266442,13165.3
0.013887,81.950219,2.069687,1.812814,0.609238,83.798400,0.017881,-0.068924,144.945894,0.708155,1.776093,13165.6
0.037710,57.942152,2.007202,1.855957,0.609936,54.628476,0.020467,0.098129,2.823136,0.671370,1.648464,13169.7
0.016460,65.104310,1.419184,2.031458,0.949271,19.138511,-0.156239,0.026991,43193.532944,0.503520,0.420012,13177.5
0.036768,25.580764,2.067400,1.848549,0.642346,75.998236,0.115586,0.188502,57.946254,0.710992,1.357584,13179.9
0.037497,14.772993,1.786924,1.965066,0.717676,1.194777,-0.004955,0.068816,1712.411188,0.835733,0.850316,13180.7
0.038244,31.779923,1.454731,1.886751,0.881808,9.651827,-0.064975,-0.057908,80597.390001,0.300719,1.300381,13183.1
0.010917,29.410792,1.748948,1.933323,0.773315,63.041743,-0.180708,0.027696,8910.856295,0.781458,0.261110,13198.8
0.037241,2.580130,2.169627,1.991662,0.600233,45.198746,0.194371,0.098486,1.716864,0.725314,1.576600,13199.5
0.027322,34.236127,1.391971,1.968058,0.775325,34.686285,0.161614,0.099921,6.637651,0.697393,1.329568,13203.8
0.020816,59.785329,1.618409,1.961361,0.868556,85.656034,0.013727,0.117531,29.944207,0.134399,0.960559,13204.4
0.013740,60.727916,2.134314,1.917851,0.619908,29.898525,-0.132598,0.137533,164.890460,0.655130,1.128289,13205.2
0.016377,89.095371,1.732360,2.196336,0.727426,11.209515,0.009630,-0.134564,375.171369,0.774512,1.102006,13210.8
0.015874,9.579982,1.406331,1.839887,0.837308,42.455898,-0.007111,-0.163900,104428.467071,0.438288,0.463844,13217.9
0.018622,23.030580,1.610809,2.006637,0.630066,51.389644,-0.098500,-0.102869,177201.110433,0.824300,0.490282,13218.9
0.032737,61.120672,1.675677,2.011307,0.620582,78.065817,-0.084883,-0.014957,77567.502079,0.406971,0.818199,13224.6
0.009908,44.652439,1.606530,2.123752,0.927656,53.712083,0.088799,-0.104287,3.519563,0.742957,0.826317,13225.6
0.009116,9.708266,1.708630,1.875654,0.981995,75.609702,0.080294,-0.164262,5907.271338,0.241170,1.077736,13238
0.038489,28.337747,1.418138,2.109886,0.848543,18.812971,0.131195,-0.071595,338.387004,0.847016,0.798531,13248.5
0.005171,4.416777,2.095611,1.946295,0.648361,33.736964,-0.007332,0.154123,20500.882465,0.396287,0.894447,13252.2
0.010206,64.051355,1.422892,2.055727,0.852277,87.264715,-0.027560,0.067150,971.327970,0.301261,0.142981,13264.4
0.015418,59.668545,2.056271,2.035824,0.660271,85.971386,0.168432,0.178594,7242.952649,0.269701,0.518458,13273.4
0.029362,36.630242,1.706869,1.862339,0.760948,38.512369,-0.138827,0.142092,140381.500691,0.079451,2.270565,13273.4
0.022572,45.499971,1.433419,1.979772,0.803027,61.088484,-0.003761,0.162771,508.957460,0.891240,1.073394,13276.5
0.037460,36.973581,1.469786,2.152417,0.963129,37.184333,-0.133114,-0.026809,59.399090,0.794411,0.640648,13276.8
0.024097,80.170369,1.428033,2.037693,0.881957,20.414282,0.104354,-0.043327,144428.086984,0.416917,0.446817,13289
0.037178,13.600302,1.557064,1.891385,0.744013,56.821568,0.177627,-0.047056,1209.408534,0.893049,1.131955,13292.9
0.014214,17.044660,1.700271,1.820852,0.908102,27.438033,-0.019859,-0.120003,212280.223600,0.500156,0.404943,13296
0.010408,87.358056,1.705106,2.005285,0.944892,21.812603,-0.167990,0.117310,8.045969,0.633530,1.460850,13299.7
0.023353,41.364078,1.716933,2.193498,0.949724,88.631757,0.168651,0.130718,12604.958646,0.212896,1.073917,13305.5
0.005480,31.891900,1.692303,1.919661,0.930020,73.479701,-0.106567,0.131507,2283.990753,0.319730,1.372779,13317.9
0.030018,74.451245,1.716860,2.020742,0.717566,81.107404,-0.157825,-0.048918,393.303041,0.490180,1.235719,13318
0.012378,1.513082,1.446783,2.014452,0.853774,3.343802,0.150920,0.052127,22586.772908,0.433810,1.252266,13332.4
0.022664,82.422969,1.703567,2.025996,0.946978,79.951630,0.055168,-0.152281,6.823994,0.797177,2.490207,13334.6
0.032946,76.934705,1.648656,1.943602,0.623685,26.208098,-0.191658,-0.057331,88.044998,0.605370,0.413896,13342.3
0.008666,13.357406,1.695059,2.071230,0.687819,58.040439,-0.080605,0.015190,227.967381,0.698859,1.351114,13343.1
0.020484,59.777427,1.547534,1.867365,0.804520,35.948462,0.194442,0.113583,1.591878,0.701815,1.408303,13345.4
0.038148,78.996425,1.445305,2.004962,0.932916,48.537952,0.067604,0.175800,89.373659,0.290160,1.232482,13346.7
0.018015,44.346094,1.400373,2.004294,0.795883,33.019500,0.022900,-0.168069,14935.103951,0.090814,2.804289,13354.1
0.010966,14.964321,1.487836,2.033220,0.677401,72.022935,0.007693,-0.036163,74451.397910,0.475265,0.701762,13361.3
0.034334,15.431368,1.717819,1.936938,0.732913,1.606797,0.178021,-0.093963,2820.856547,0.456119,1.149956,13363.7
0.030702,61.169542,1.583295,2.116847,0.719879,58.576204,0.169519,-0.166749,78665.348188,0.065357,2.035819,13365.2
0.032883,9.945148,1.454264,1.908617,0.825453,23.294701,-0.060988,-0.182188,5166.767350,0.882628,1.679765,13369.1
0.029735,3.023928,1.580502,2.051397,0.719450,82.411435,-0.057533,-0.175228,7.091125,0.869748,1.572596,13370.4
0.028918,82.613373,1.456554,2.001974,0.964163,31.031823,0.068507,-0.146700,119801.475929,0.435623,1.449858,13371.3
0.011312,89.114490,1.405239,2.060324,0.839367,61.507773,0.150007,-0.041797,3449.158368,0.105812,1.780596,13374.5
0.026223,1.851332,1.705197,2.043744,0.774650,9.305374,0.123870,0.013790,9261.372669,0.299478,1.153374,13376.3
0.009497,1.451751,1.712828,1.921379,0.911063,2.628715,-0.181691,0.063895,4.017771,0.846874,2.014846,13378.9
0.014083,55.972740,1.442455,2.181185,0.973014,64.721564,0.075772,-0.199502,1528.341949,0.200118,1.381956,13385
0.037861,68.301138,1.714951,2.158381,0.653337,1.324008,-0.183348,-0.021791,1269.813576,0.064707,3.402528,13388.3
0.020090,37.001009,1.683540,2.109618,0.624864,17.508715,0.057029,-0.189766,9.687706,0.729429,1.321325,13390.3
0.010902,74.986723,1.696408,1.959948,0.897880,39.599840,0.027287,0.014509,4976.586393,0.331803,1.357877,13399.2
0.009673,60.639258,1.492002,2.093176,0.799781,76.643280,-0.082427,0.134784,150174.373959,0.404934,0.451924,13401.1
0.024506,73.591568,1.460474,1.829477,0.886170,57.706900,-0.135810,-0.102498,23428.087487,0.656055,0.763242,13406.5
0.033874,11.480568,1.628449,1.854244,0.724967,40.222031,0.143613,-0.131785,30967.622335,0.266413,0.879043,13414.3
0.009446,71.952156,1.485236,1.970990,0.888844,49.905583,0.040096,-0.008694,1.745718,0.881160,1.811895,13422
0.030294,24.985061,1.470844,2.151637,0.868759,2.002317,0.064106,-0.144999,700.043688,0.088748,1.436652,13428.1
0.009454,59.429855,1.631632,2.121800,0.910975,34.517734,0.166510,-0.027670,89439.562436,0.066531,3.076077,13429.3
0.026086,5.634177,1.503861,2.032191,0.958415,2.837684,-0.138479,-0.055948,1030.951713,0.876196,2.404823,13438.1
0.037008,87.079933,1.692627,1.906518,0.772747,16.026548,0.126874,0.177519,19079.054799,0.739073,0.063993,13438.7
0.027667,36.076016,1.555142,2.095918,0.936170,27.507723,-0.142224,-0.001690,55.280521,0.583431,0.549193,13439.2
