0-massfield-mass-0-ExternalShear-gamma_ext,0-massfield-mass-0-ExternalShear-phi_ext,1-galaxy-mass-0-SIE-theta_E,1-galaxy-mass-0-SIE-q,1-galaxy-mass-0-SIE-phi,1-galaxy-mass-0-SIE-center_x,1-galaxy-mass-0-SIE-center_y,3-galaxy-light-0-IrregularGrid-lambda,3-galaxy-light-0-IrregularGrid-l_corr,2-galaxy-mass-0-PixelatedRegularGridPotential-lambda,2-galaxy-mass-0-PixelatedRegularGridPotential-l_corr,probability_weights
0.049745,-59.435686,0.922404,0.874786,51.443768,-0.045724,0.036179,0.000237,0.052266,1496.458519,0.062288,0
0.060195,-44.202403,1.080236,0.841577,64.617734,0.064444,0.059964,0.052883,0.545308,2.898884,0.060152,0
0.049319,-35.762974,1.064372,0.758411,34.929688,0.020689,-0.018075,0.010093,0.077777,3.100870,0.078840,0
0.075813,-58.355928,0.952534,0.996352,50.165672,0.015563,0.091522,0.000208,0.108674,20.561732,0.141523,0
0.063682,-40.752894,0.968452,0.913836,37.789512,0.092614,0.053440,7.914502,0.748533,114282.774608,0.305857,0
0.011723,-42.991375,0.943735,0.976309,66.531014,0.012834,0.022849,0.000770,0.766788,2.414441,0.225385,0
0.054028,-59.698113,1.036351,0.718383,56.879942,0.063182,0.035349,297.135969,0.168626,0.002385,0.061899,0
0.066704,-53.133859,0.875436,0.982392,36.504977,-0.031421,0.023435,0.888701,0.313633,6.985071,0.058742,0
0.050415,-44.290384,0.902518,0.995447,37.973480,-0.076040,-0.019059,82.516387,0.111634,0.034351,0.403606,0
0.015827,-52.119613,0.867132,0.926250,56.408632,0.047184,-0.004854,158.315852,0.049372,0.032932,0.596802,0
0.039986,-37.986547,1.039819,0.827489,41.883216,-0.061229,-0.071278,25.799796,0.111204,0.004059,0.170448,0
0.059447,-49.017247,1.074552,0.809521,62.828321,0.060802,-0.078996,0.000601,0.657081,733.086296,0.840110,0
0.056693,-39.750076,1.014764,0.844279,37.502029,0.066226,-0.077699,18.394193,0.110800,0.012850,0.100308,0
0.010123,-49.917946,0.972204,0.933443,47.779443,0.045302,0.062899,4.815019,0.860927,0.396832,0.062197,0
0.049849,-37.574046,1.091224,0.785030,59.737096,0.058448,-0.004688,0.145106,0.085676,24.888616,0.099580,0
0.093692,-41.298721,0.959853,0.947956,53.083882,-0.074815,-0.080655,0.016975,0.887753,0.049926,0.489055,0
0.077009,-41.476425,1.014170,0.784862,39.129903,-0.012541,-0.018702,3.416673,0.804255,0.005440,0.077203,0
0.057690,-58.933046,1.155811,0.741769,34.093409,0.040339,0.057569,0.085904,0.216966,119.155033,0.605605,0
0.083807,-52.535855,0.902589,0.819686,62.971458,0.006233,0.069998,1.645354,0.509790,0.290311,0.702406,0
0.006001,-40.707009,0.933575,0.923631,46.309786,0.098304,-0.070746,825.242245,0.704891,0.042945,0.092248,0
0.000366,-58.556823,0.809011,0.995477,50.380731,0.016536,-0.014506,12.892714,0.340118,19.671568,0.070086,0
0.042388,-51.566691,0.808661,0.997774,45.903523,0.054878,0.076907,1.119076,0.068445,38.044384,0.085060,0
0.050781,-41.282306,1.111314,0.735812,58.943563,-0.051317,-0.088114,519.987814,0.073015,18.324659,0.289802,0
0.007458,-36.455583,0.964904,0.763732,36.629884,-0.072193,0.025755,189.666947,0.140052,0.000570,0.515147,0
0.092143,-57.980869,1.045535,0.777828,56.336505,0.074158,-0.009706,359.712993,0.089517,0.014858,0.939027,0
0.011931,-52.708808,0.967640,0.815326,54.711378,0.036911,0.080697,0.399508,0.167411,2.098033,0.062111,0
0.053981,-48.140793,0.964037,0.787724,67.014980,-0.050608,0.008042,0.237788,0.702990,0.059015,0.041202,0
0.007765,-42.526051,0.993262,0.844095,33.446147,-0.033179,-0.028280,6.877075,0.444745,0.044677,0.045275,0
0.016315,-47.188786,1.128384,0.704634,42.971005,-0.005431,-0.044086,242.815917,0.216187,145.777363,0.050244,0
0.087746,-41.288068,0.960863,0.868699,49.112053,0.052572,-0.017856,4.664115,0.316667,109068.141088,0.406457,0
0.008805,-37.222125,0.986547,0.799074,43.484042,0.031106,0.063755,0.189047,0.417233,0.087853,0.297538,0
0.068852,-54.788857,1.052746,0.837393,56.305106,-0.017981,0.051036,0.095520,0.043818,2.662211,0.170264,0
0.066407,-38.906882,1.005198,0.771404,51.937828,0.009906,0.087929,205.170940,0.060034,0.117992,0.124728,0
